,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Macedonia,Northern Cyprus,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,World,Yemen,Zambia,Zimbabwe
Afghanistan,"(1.0, 0.0)","(0.4155878204824359, 5.967957764390336e-28)","(-0.41934193123669633, 6.9520392564858095e-28)","(0.23955607757591912, 9.718151716217807e-10)","(-0.25704541258447894, 5.984906386471019e-11)","(0.029967149151459413, 0.45967044672869245)",,"(-0.23318119713178076, 4.4613585828062084e-09)","(0.4521868354529618, 5.630069660979316e-33)","(-0.2736663910067082, 2.7648127908112147e-12)",,"(0.1212236049773717, 0.00219547940259751)","(-0.2290978752785618, 5.091148969654704e-09)","(-0.2696297460934104, 4.8658255626305705e-12)","(-0.22641212015520099, 9.116397680966683e-09)","(-0.07799789789694445, 0.053199765296167205)","(0.2047995655758223, 1.888304570666191e-07)","(0.4397100635402347, 7.687283578554491e-31)","(-0.2298110578651375, 8.40347256731332e-09)","(-0.09404182981716455, 0.018042864147690903)","(-0.24243126351171657, 5.847133394512006e-10)","(-0.22114855522447513, 3.5852672652765e-08)","(-0.16901932359710997, 2.5159324559840386e-05)",,"(0.6481201406590329, 9.678380728621e-76)","(0.4624544834833392, 3.5271369159564026e-34)",,"(-0.3880218242079259, 6.320381827393551e-24)","(0.23705358813786614, 4.019136128273895e-09)","(0.35159067659140486, 6.95163277859377e-20)",,"(-0.20675637685792914, 1.9669673738507405e-07)","(-0.3417270668364369, 1.6642130567313722e-18)","(-0.23051291336751337, 6.202011876376949e-09)","(-0.06653938966554665, 0.1034651942811076)","(0.5779741885343836, 5.855971501678416e-58)","(-0.1330040075776725, 0.000858334407667254)","(-0.25927963252117026, 3.1411422555173853e-11)","(-0.011993209180304361, 0.7673395280047384)",,"(0.05139876530088562, 0.20268649341311373)","(-0.2129448090416394, 1.0473561685124397e-07)","(0.4004886675840211, 6.714868997331101e-26)","(-0.12018379672121171, 0.002397643135674036)","(0.6710561665664821, 5.272965612999084e-83)","(-0.1538041920596342, 0.0002278799397079723)","(-0.0985599834962956, 0.014397622882304837)",,"(0.22331848287124145, 1.669130565375869e-08)","(-0.15715104404387276, 8.509613850267345e-05)","(-0.2508562634953468, 1.4388271667914895e-10)","(0.13108605476453022, 0.0010796386127896304)",,"(0.14264667493983368, 0.0003627124713114975)","(-0.33160501711909807, 1.2332651936971914e-17)","(0.7685686523617234, 5.517375941948656e-122)","(-0.11166443762532811, 0.004913226145962152)","(-0.0383349782560485, 0.3433634038227782)","(-0.20925020615274137, 1.8777669068124098e-07)","(0.19909640788336957, 4.7072391767839704e-07)","(0.08209695470956131, 0.03939822396744327)","(0.12747049367740382, 0.0012751687988066206)","(-0.05669032185864514, 0.16130363759804672)","(-0.10286677943088074, 0.010628523490879435)","(0.6290963038302266, 1.5747796969164265e-68)","(-0.3258764899324198, 3.982245091559916e-17)","(-0.0034461867348037066, 0.9319209972993543)","(-0.40344038273051064, 1.363891922297422e-25)","(-0.26532349777894093, 1.0440808789684993e-11)","(-0.3140367250944407, 5.054337856192719e-16)",,,"(0.3575169826689427, 6.858002622266928e-20)","(-0.23777412896099392, 1.2638052484798413e-09)","(-0.26980132765403414, 4.53345384341854e-12)",,"(-0.2238168341924426, 1.9132755097127506e-08)","(-0.03804872283675835, 0.34658708961755225)","(-0.0954935058127008, 0.016162787656246826)","(-0.3024189554701873, 6.442620507426374e-15)","(-0.13196174752817116, 0.001017676081862386)",,"(-0.13190705072667525, 0.0008705249009572206)",,"(-0.13027225120193797, 0.0012730617270284086)","(0.16965650054764841, 2.2714935356028504e-05)",,"(-0.09560976975880155, 0.017432440631605088)","(-0.01311682164613453, 0.7472671962966849)","(0.09425204177015206, 0.019004284826567908)","(0.6685883678194409, 2.1914597415676828e-80)","(-0.29952616798776105, 1.1931867149584814e-14)","(0.21619319202056259, 5.426776511261562e-08)","(-0.20910086923926657, 1.0269488803091859e-07)","(-0.2848979871405284, 3.5733340212208506e-13)","(-0.2284152315704266, 6.327921873513073e-09)","(0.07513134069183372, 0.058266155033492376)","(0.43139641899007614, 6.742657815560967e-30)",,"(0.11201848514514412, 0.004678893017916768)","(0.27924015278421066, 7.42063398144818e-13)","(-0.19328290287556416, 9.99252764503381e-07)",,"(-0.309816176870207, 1.2909972016024122e-15)","(-0.2760198751528956, 1.3868157284312105e-12)","(-0.2617686667248025, 3.57697199283795e-11)","(-0.026039916684897017, 0.5121323602780982)",,"(-0.23259937765170322, 3.670479835212789e-09)","(0.10954478749972822, 0.00641196838590835)","(0.028763692288507912, 0.47537925704049555)","(-0.021029871110146932, 0.7751213074602809)","(-0.2522072824785756, 2.08414564704353e-10)","(0.5945751793555214, 4.691568335072036e-62)","(0.46279508236618166, 7.279671170629985e-34)","(-0.1650991358490916, 4.364125806282392e-05)","(-0.26416078912872437, 1.6748494813755032e-11)","(-0.31860326817085083, 1.8014645266667268e-16)","(-0.06888111765111125, 0.1043907632958407)","(0.7601256172761711, 1.0924753090955346e-116)","(-0.026939800950422234, 0.5076649479712636)","(-0.19592606252453765, 7.64612160833956e-07)","(-0.2586878720748039, 4.16985929977108e-11)","(0.4626749495836729, 4.6772783698391154e-35)","(0.14747175406186636, 0.00018981107363723313)","(-0.20842612531950533, 1.268394745530175e-07)",,"(-0.13311145224498722, 0.0009728785168503377)","(0.10407059768903311, 0.010879685164128204)","(0.1433167451899811, 0.00028791788699265397)","(0.20417562735771258, 2.744065381830574e-07)","(-0.20065476015388148, 6.356153240866649e-07)","(-0.22632560251292907, 1.0866590709452546e-08)","(-0.020409773747097067, 0.6882066056552945)","(0.14554194136602427, 0.00028652611459930753)","(-0.07048325645283746, 0.08121304340275676)","(-0.06558314885666305, 0.09950777969646213)","(-0.040166435149171675, 0.4853509046822823)","(-0.44753558639988955, 5.158474451510714e-32)","(-0.17374677273150085, 1.1374656840421809e-05)","(0.3394188458115059, 3.2941884883680996e-18)","(-0.46582296370259946, 2.1392967324855093e-34)",,"(-0.07311669176305746, 0.06686755920375301)","(0.21572235502697978, 7.613014902520673e-08)","(0.17418099150551425, 1.671174631177061e-05)","(0.8050798845121626, 1.2725646041111903e-141)",,"(0.23837261300508159, 1.1456537919564443e-09)","(-0.17569492460713235, 8.736621944611649e-06)",,"(-0.20973738794047028, 1.0287057055566032e-07)","(0.0936248325801313, 0.020530688709906736)","(-0.17185319869270008, 1.9455041200013754e-05)","(-0.19214594624761394, 1.136911816151966e-06)",,"(-0.276949750718533, 1.1586818681855007e-12)","(-0.3542054211935711, 3.545274194294842e-20)",,"(-0.24314158985590759, 5.525776761057729e-10)","(-0.10818332220686691, 0.006315559849375038)","(0.6796733559822201, 2.1722287099471997e-87)","(0.11278551129538791, 0.0044329232568745165)","(0.2154324981392079, 0.04028314095280804)","(-0.29543631011150595, 4.484023125889434e-14)","(0.07769366118725382, 0.052972983294937784)","(-0.1506756366528655, 0.0001853436790207064)","(0.38260438149402215, 3.759951275573009e-23)","(-0.0599607420743726, 0.13429825499246964)","(0.021461544817034696, 0.5890335504785347)",,"(-0.28479967316812077, 3.643264697496185e-13)","(-0.05854369869569998, 0.14248325781332885)","(0.10919005293909373, 0.0060400781198982675)","(-0.33826651481741066, 1.9513263823289968e-18)","(0.0688049607009142, 0.08294704601982764)","(0.47174392880798177, 1.6379286873832794e-35)",,"(0.09346573492273856, 0.021383665245304658)","(-0.19831432341184976, 6.854683044414808e-07)","(-0.17017230992804608, 2.1429256600495407e-05)","(-0.08156709531397184, 0.11828595704509817)","(-0.33711533029618423, 3.1031588885257016e-18)","(-0.16312370379615598, 6.494642688414209e-05)","(0.36900853609198764, 1.0058047739232694e-21)","(0.19570005486873782, 7.564711583187915e-07)","(-0.329565362059155, 2.6708799417396695e-17)","(0.47886225538189986, 1.2513194315876376e-36)","(0.6969882211761959, 1.9942653924006014e-88)","(-0.17691549707283935, 7.178941049740987e-06)",,"(-0.31762444788267136, 4.0740421627623767e-16)","(-0.316723623375993, 4.719340821104804e-16)","(-0.13399737616860347, 0.006923553708743376)","(-0.23626645520320688, 3.002255517832691e-09)","(0.4793366958648211, 2.8049541045224895e-37)","(0.45498937526627736, 8.07391184239647e-34)","(-0.02539203451666272, 0.5226888666057162)","(-0.1480780317129572, 0.00028961574658291437)","(-0.02264505477409274, 0.5686531350178794)","(0.3018206710865099, 7.322565311147513e-15)","(0.05245795204501228, 0.19279996534680258)","(0.24250875557471155, 1.0415578737700128e-09)","(-0.1923731703547989, 1.0204837278803505e-06)","(-0.2607395084520291, 2.5019377240543764e-11)","(-0.3239623384187308, 2.3944673202287683e-16)","(0.4863593390354561, 4.506802348908407e-39)","(0.14832402070821127, 0.00038529880960710175)","(-0.061228000779697485, 0.12933253631021077)","(0.08942770114588926, 0.024110451587565765)","(0.19862118263166761, 7.78037880020033e-07)","(-0.15501428172529733, 9.977277916813333e-05)",,"(-0.07871673496520942, 0.7210810240198456)","(0.3184314606149061, 5.250034540601702e-16)","(0.5202009575101454, 9.139577993875058e-45)","(-0.19710750829042883, 7.550476307214341e-07)",,,,"(0.46809615624477774, 1.5262048829736692e-34)","(-0.3210952850182234, 1.583336142332275e-16)","(0.1968028462996867, 5.661557469711751e-07)","(-0.037927411384279394, 0.3396004888717787)","(-0.30940814251385784, 1.4123840882288966e-15)","(0.25430262321556474, 7.618866846239952e-11)","(0.33509907184164556, 1.105872286455951e-17)","(0.07964099174138639, 0.04818176177887124)","(-0.1301489411377586, 0.011535913106843805)","(-0.09914032386225742, 0.013150848574113524)","(0.23668053465830458, 2.650973315284038e-09)","(-0.09255588122082828, 0.019564753273351127)",,"(-0.02828463997260412, 0.47643336472183295)","(-0.17144223367126657, 2.8326218542342463e-05)","(0.7149284783653695, 5.062408246664747e-97)","(0.42815874429134415, 1.2432587038963413e-28)"
Africa,"(0.4155878204824359, 5.967957764390336e-28)","(1.0, 0.0)","(0.10697176173470652, 0.007581354889772258)","(0.6963316933015786, 2.999985638489898e-93)","(0.07456899691764995, 0.06161394270598289)","(0.20316316428930026, 4.0947798323064816e-07)",,"(0.04476743488938846, 0.26648019623890945)","(0.33220303469759627, 1.2048141405540092e-17)","(-0.13950748482331277, 0.00044500986618965186)",,"(0.3632627800356827, 1.3887132231216996e-21)","(-0.02087074584007229, 0.5964640101389204)","(-0.13865576151098616, 0.0004582042368048963)","(0.20046609632907053, 3.910714946209169e-07)","(0.4172724958213142, 2.630031140645162e-27)","(-0.1066575622683568, 0.0070983836212819024)","(0.7524981248841509, 9.771852292743722e-115)","(-0.1957234355023163, 1.0222901914119668e-06)","(0.21232266814280007, 7.096886101516155e-08)","(-0.11154959755929876, 0.004531526031957368)","(0.024019732514617313, 0.5544287797825742)","(0.25129508127301836, 2.599696519293879e-10)",,"(0.42543741739357155, 7.261530701560313e-29)","(0.31658199972196044, 6.717603008505379e-16)",,"(-0.09136938181361087, 0.02223810763748964)","(0.720345117636867, 3.055722349823772e-97)","(0.39073676966284016, 1.4776567384674363e-24)",,"(-0.002762738351292033, 0.9451774514190895)","(-0.13665101599386892, 0.0006261859673062679)","(0.19465579077983103, 1.0194103703598383e-06)","(0.37105570129837884, 5.059009111083157e-21)","(0.5900335953651268, 7.637890256608948e-62)","(-0.13962087018407016, 0.00046404620511782737)","(0.12086981349868559, 0.002087930479542265)","(0.022477086290739537, 0.5792160023953681)",,"(0.15531599036878774, 0.00010860181471416053)","(0.044665902150622196, 0.26991208321046956)","(-0.0010543899887776726, 0.9788112039603472)","(-0.10244529774860309, 0.009170824186428816)","(0.49435105319606376, 7.931511750240294e-40)","(0.17328486430548903, 3.188814219833862e-05)","(-0.08329462731899191, 0.038761319257790874)",,"(0.47366507106290945, 2.8580919524883582e-36)","(0.2084739490108778, 1.621987151586151e-07)","(-0.13098894282661505, 0.000937705135084947)","(0.6533205244944158, 1.3229352202499315e-76)",,"(0.5995114251848668, 7.2880863571936385e-62)","(-0.0490524544610685, 0.21888367130229416)","(0.7625123599889058, 5.64201170341168e-119)","(0.158670772490841, 6.081818017393916e-05)","(-0.24987538896392045, 3.5237259032480695e-10)","(0.13294854053855734, 0.0010062845742373878)","(0.24059015071842216, 9.544732717486398e-10)","(0.13303033108295637, 0.000816051587359234)","(-0.07552859187357225, 0.05502254824631185)","(0.45050149647684956, 6.389828936240441e-32)","(-0.0468381001786002, 0.24573665129262748)","(0.35677621532131665, 9.489393693600281e-20)","(-0.07932988178553968, 0.046032014407604266)","(0.7375842853764891, 5.77643626554274e-107)","(0.01787422819331965, 0.6574170634358062)","(0.23059053063685164, 3.037645177001313e-09)","(0.12776250458982064, 0.001136576211587297)",,,"(0.7596553750068717, 4.343927324385133e-116)","(0.2730315135878442, 1.6571510305293422e-12)","(0.21144782039138665, 5.785031271419028e-08)",,"(-0.2457790219138551, 6.100721043130896e-10)","(0.43653755637110536, 5.87611739553365e-30)","(0.3316206733767705, 9.703047864465358e-18)","(-0.028995712311212216, 0.46191463585019027)","(0.3631853247268396, 1.1280583774167115e-20)",,"(0.16023152920601805, 5.0612817874096915e-05)",,"(0.0651466666940693, 0.10825456394957313)","(0.6932810177443588, 1.4879568803023933e-89)",,"(0.23860762996741985, 1.8939081894468574e-09)","(0.270845766116109, 1.1950716192088251e-11)","(0.247084708125686, 4.60959067820887e-10)","(0.1265343992581908, 0.0017248200828775778)","(0.39765541678068916, 6.65644178816546e-26)","(0.759185199881435, 2.3269273517826016e-117)","(0.12325529046134644, 0.0016973971959890063)","(-0.16615111398332166, 2.8995776811857023e-05)","(0.0869508236862192, 0.028835845605505717)","(-0.012707927992576654, 0.7471656588601081)","(0.8491303465537161, 5.753138031962236e-176)",,"(0.659647592343573, 2.6617460731383125e-81)","(0.6517925477009014, 3.4694045311149587e-78)","(0.2515608853684915, 1.4554845441151874e-10)",,"(0.43692384785897287, 3.5870889741243564e-31)","(0.08385579499557119, 0.03309327163941882)","(0.2486810337441538, 3.4184181459177153e-10)","(0.6289668339677276, 1.92451533002797e-72)",,"(-0.0369531780348749, 0.35521832911352436)","(0.6939673069837906, 6.0830096889354055e-90)","(0.4771028180614454, 1.8911820534906688e-36)","(-0.1285771109300466, 0.07947112868417087)","(0.346487763689322, 7.636331178387254e-19)","(0.3106779989444961, 1.0673189317679577e-15)","(0.5859750988654885, 8.543613327860331e-58)","(-0.053576232800020135, 0.18743552708570158)","(-0.10346093103285434, 0.009415231677235002)","(0.29274682123067464, 4.294250896568384e-14)","(0.18773773564531657, 8.175445841250897e-06)","(0.45599295269239215, 7.387495276801148e-33)","(0.6853912296206528, 2.1221978045099264e-85)","(0.07607258693818258, 0.056934478725374445)","(0.017829320290768235, 0.6548642867319566)","(0.8361014823494441, 1.793505941247262e-167)","(0.27813215819005166, 6.111830470939191e-13)","(0.012836486071000464, 0.7475869695197985)",,"(-0.08388253064502948, 0.03818609869133926)","(0.6514942682072749, 1.6038718269618494e-73)","(0.627100269738133, 6.714547956162616e-72)","(-0.026204726497579184, 0.5138415744268657)","(-0.12324927843733478, 0.002370758950895894)","(0.2954513379996887, 4.905362930870091e-14)","(-0.04101015676234626, 0.41990670051842494)","(0.6915406587580324, 6.193794113542532e-89)","(0.40500267932795997, 1.3410674256277195e-25)","(0.7829553077504992, 5.37229968395628e-132)","(0.04183762288406098, 0.46736255434574764)","(-0.17636455157309527, 9.512512060124723e-06)","(0.4694864509567085, 6.592310746022162e-36)","(0.40909341044067893, 1.8733815975963146e-26)","(0.1313202200558488, 0.001108281718193314)",,"(0.5789072993489501, 1.466838594383511e-57)","(0.7561326014300958, 7.16704735944214e-114)","(0.7196554989596287, 1.8938776772620291e-97)","(0.6427940324153938, 3.2551460356077355e-73)",,"(0.1526990495384777, 9.761853005702903e-05)","(0.10376183653607682, 0.008988528968486594)",,"(-0.22800489687505754, 6.745730263080053e-09)","(0.2753838690211279, 4.1145537056433454e-12)","(0.11235024104741473, 0.005431871969356524)","(0.4194795926988143, 2.5085278466083166e-28)",,"(0.5096662874104259, 5.32304694686828e-44)","(0.11503939731083884, 0.0037252400519877872)",,"(0.07674235910974075, 0.053438685477019736)","(0.17051702669085983, 1.3155088521894678e-05)","(0.2897605547676763, 9.0829902511569e-14)","(0.36952345675278675, 5.606070235589906e-22)","(0.15461093985219732, 0.14337973035207144)","(0.06782752500435882, 0.0899606301389146)","(0.5249321424118032, 2.8569654314729167e-45)","(-0.25624376867735305, 1.2877928964867373e-10)","(0.13884569171899602, 0.0005099557163679193)","(-0.14513967190688182, 0.00027208561422093104)","(0.39104171532572074, 4.945112477298507e-25)",,"(-0.11321585906473992, 0.004534096039161837)","(0.4383626244375257, 6.3773506340008055e-31)","(-0.27247386347649916, 3.3294762653279968e-12)","(-0.15638855002547264, 7.674347414295617e-05)","(0.4228651978635055, 2.0801792158831111e-29)","(0.8269778805782353, 6.148147447297925e-156)",,"(0.21053156485070668, 1.6886409162493266e-07)","(0.29086049731920477, 1.7049486271592725e-13)","(-0.03294111056861042, 0.41404121916341335)","(-0.104008977411352, 0.04616725969405766)","(-0.010578143971550776, 0.7908550116090655)","(-0.06358151305178433, 0.12164196823803085)","(0.007063058413588054, 0.8596729840451046)","(0.6884591781500008, 1.5838882255039976e-89)","(-0.05238072309419503, 0.19094301040834194)","(0.28255533374240827, 9.019989752391838e-13)","(0.336804389642675, 2.2166043508455184e-17)","(-0.26205657241899766, 1.3214760174094193e-11)",,"(-0.04728797107321225, 0.23780412956110172)","(-0.06253723360764168, 0.1180328226729421)","(-0.16588580402218212, 0.0008042812525353076)","(-0.08638491718711336, 0.03219966213421665)","(0.8907934498608832, 6.320665895224377e-216)","(0.3876559337107335, 2.842553756098697e-24)","(0.3595382012292641, 3.8020960192322984e-21)","(-0.12695383442453323, 0.0019170691718974216)","(0.5563357391566061, 9.10532693906104e-54)","(0.5714409359893439, 2.8470699445185095e-57)","(-0.023724366549323576, 0.5560845263253076)","(0.2621255123417874, 3.744546604127832e-11)","(0.11716683261739638, 0.0028591827585114594)","(0.10399862954456356, 0.008725287819236528)","(-0.11244455513703891, 0.0054692547039441415)","(0.0517734404499311, 0.18876740675417739)","(0.03563428292181997, 0.3962094068225154)","(0.004350851559359692, 0.9142506375487439)","(0.5514764038891122, 1.1196651252145893e-52)","(0.4165614456228307, 5.842846081439359e-27)","(0.4911749253180516, 2.893161751772119e-39)",,"(0.046721530220437894, 0.8323502882744818)","(0.13114236224018055, 0.0010945857973133158)","(0.8194465849971851, 3.238063671880294e-153)","(0.0974189591080307, 0.015241402742563808)",,,,"(0.45506163834648244, 1.6390855716585953e-32)","(-0.18523497246557202, 2.965021761366122e-06)","(0.433985253525302, 4.730705553790546e-31)","(0.5262654394995537, 2.6641627868263944e-47)","(0.44521803826932116, 8.953952004551488e-33)","(0.6925299676787238, 2.076697238959974e-93)","(0.03395046233411661, 0.3994917431022417)","(0.5275978612906782, 1.9412539495584885e-45)","(-0.21187166644761823, 3.446210014466104e-05)","(-0.15279119529228813, 0.0001257325470508706)","(0.30589661740512913, 7.853540616244021e-15)","(0.35669212435495523, 8.135697178261602e-21)",,"(0.5471062426368569, 1.0327647647561421e-51)","(-0.07395706108813643, 0.07264414673436638)","(0.6039113730453283, 3.4254288979852717e-62)","(0.799259766752831, 8.602595774998791e-137)"
